scenario,month,token_volume_usd,treasury_value_usd,gross_income_usd,operating_cost_usd,market_pnl_usd,lp_loss_usd,imd_price_shock_usd,imd_liquidity_added_usd,cumulative_imd_liquidity_added_usd,break_even_token_volume_usd
bull,12,6994916.99,431661.28,40171.03,2500.00,5836.89,972.82,0.00,11301.31,89432.66,556634.29
bear,1,1000000.00,101200.00,6000.00,2500.00,-1500.00,800.00,0.00,1050.00,1050.00,526315.79
bear,2,950000.00,102087.40,5715.00,2500.00,-1518.00,809.60,0.00,964.50,2014.50,528000.00
bear,3,902500.00,102683.64,5444.25,2500.00,-1531.31,816.70,0.00,883.27,2897.78,529245.47
bear,4,857375.00,103008.95,5187.04,2500.00,-1540.25,821.47,0.00,806.11,3703.89,530082.30
bear,5,814506.25,103082.43,4942.69,2500.00,-1545.13,824.07,0.00,732.81,4436.69,530538.88
bear,6,773780.94,102922.09,4710.55,2500.00,-1546.24,824.66,0.00,663.17,5099.86,530642.01
bear,7,735091.89,102544.90,4490.02,2500.00,-1543.83,823.38,0.00,597.01,5696.86,530416.97
bear,8,698337.30,101966.89,4280.52,2500.00,-1538.17,820.36,0.00,534.16,6231.02,529887.59
bear,9,663420.43,101203.15,4081.50,2500.00,-1529.50,815.74,0.00,474.45,6705.47,529076.34
bear,10,630249.41,100267.90,3892.42,2500.00,-1518.05,809.63,0.00,417.73,7123.20,528004.42
bear,11,598736.94,99174.54,3712.80,2500.00,-1504.02,802.14,0.00,363.84,7487.04,526691.79
bear,12,568800.09,97935.69,3542.16,2500.00,-1487.62,793.40,0.00,312.65,7799.69,525157.25
token_trading_fades,1,1400000.00,105480.00,8280.00,2500.00,0.00,300.00,0.00,1734.00,1734.00,438596.49
token_trading_fades,2,800000.00,107523.56,4860.00,2500.00,0.00,316.44,0.00,708.00,2442.00,441480.70
token_trading_fades,3,200000.00,106140.99,1440.00,2500.00,0.00,322.57,0.00,0.00,2442.00,442556.26
token_trading_fades,4,200000.00,104762.57,1440.00,2500.00,0.00,318.42,0.00,0.00,2442.00,441828.59
token_trading_fades,5,200000.00,103388.28,1440.00,2500.00,0.00,314.29,0.00,0.00,2442.00,441103.11
token_trading_fades,6,200000.00,102018.11,1440.00,2500.00,0.00,310.16,0.00,0.00,2442.00,440379.80
token_trading_fades,7,200000.00,100652.06,1440.00,2500.00,0.00,306.05,0.00,0.00,2442.00,439658.66
token_trading_fades,8,200000.00,99290.10,1440.00,2500.00,0.00,301.96,0.00,0.00,2442.00,438939.68
token_trading_fades,9,200000.00,97932.23,1440.00,2500.00,0.00,297.87,0.00,0.00,2442.00,438222.86
token_trading_fades,10,200000.00,96578.44,1440.00,2500.00,0.00,293.80,0.00,0.00,2442.00,437508.19
token_trading_fades,11,200000.00,95228.70,1440.00,2500.00,0.00,289.74,0.00,0.00,2442.00,436795.67
token_trading_fades,12,200000.00,93883.01,1440.00,2500.00,0.00,285.69,0.00,0.00,2442.00,436085.28
imd_price_falls_70pct,1,2000000.00,96733.33,11700.00,2500.00,-500.00,300.00,11666.67,2760.00,2760.00,438596.49
imd_price_falls_70pct,2,2040000.00,93720.80,11928.00,2500.00,-483.67,290.20,11666.67,2828.40,5588.40,436877.19
imd_price_falls_70pct,3,2080800.00,90964.93,12160.56,2500.00,-468.60,281.16,11666.67,2898.17,8486.57,435291.65
imd_price_falls_70pct,4,2122416.00,100134.98,12397.77,2500.00,-454.82,272.89,0.00,2969.33,11455.90,433841.19
imd_price_falls_70pct,5,2164864.32,109473.63,12639.73,2500.00,-500.67,300.40,0.00,3041.92,14497.82,438667.53
imd_price_falls_70pct,6,2208161.61,118984.36,12886.52,2500.00,-547.37,328.42,0.00,3115.96,17613.77,443582.61
imd_price_falls_70pct,7,2252324.84,128670.73,13138.25,2500.00,-594.92,356.95,0.00,3191.48,20805.25,448588.26
imd_price_falls_70pct,8,2297371.34,138536.39,13395.02,2500.00,-643.35,386.01,0.00,3268.50,24073.75,453686.35
imd_price_falls_70pct,9,2343318.76,148585.01,13656.92,2500.00,-692.68,415.61,0.00,3347.08,27420.83,458878.80
imd_price_falls_70pct,10,2390185.14,158820.39,13924.06,2500.00,-742.93,445.76,0.00,3427.22,30848.05,464167.55
imd_price_falls_70pct,11,2437988.84,169246.36,14196.54,2500.00,-794.10,476.46,0.00,3508.96,34357.01,469554.59
imd_price_falls_70pct,12,2486748.62,179866.86,14474.47,2500.00,-846.23,507.74,0.00,3592.34,37949.35,475041.94
